strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pangolin_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing
hCoV-19/Australia/VIC29943/2021	betacoronavirus	EPI_ISL_8641679	?	2021-12-09	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29747	Human	37	Female	?	AY.39.1	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC29587/2021	betacoronavirus	EPI_ISL_8641633	?	2021-12-10	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29747	Human	63	Female	?	AY.39.1.4	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC31069/2021	betacoronavirus	EPI_ISL_8642033	?	2021-12-21	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29765	Human	33	Male	?	AY.39.1	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC32430/2021	betacoronavirus	EPI_ISL_8642133	?	2021-12-22	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29748	Human	65	Female	?	AY.39.1.4	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC30089/2021	betacoronavirus	EPI_ISL_8641733	?	2021-12-06	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29747	Human	42	Male	?	AY.39.1	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC29881/2021	betacoronavirus	EPI_ISL_8641533	?	2021-12-06	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29764	Human	unknown	Male	?	AY.122	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC32955/2021	betacoronavirus	EPI_ISL_8641334	?	2021-12-20	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29748	Human	25	Female	?	AY.39.1	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC30534/2021	betacoronavirus	EPI_ISL_8641834	?	2021-12-10	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29747	Human	63	Female	?	AY.39.1	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC30091/2021	betacoronavirus	EPI_ISL_8641734	?	2021-12-07	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29747	Human	unknown	Male	?	AY.39.1.4	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC29591/2021	betacoronavirus	EPI_ISL_8641634	?	2021-12-10	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29747	Human	44	Female	?	AY.39.1.4	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC29263/2021	betacoronavirus	EPI_ISL_8641435	?	2021-12-01	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29748	Human	41	Male	?	AY.39.1	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC30158/2021	betacoronavirus	EPI_ISL_8641780	?	2021-12-06	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29747	Human	19	Female	?	AY.39.1	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC30741/2021	betacoronavirus	EPI_ISL_8641980	?	2021-12-22	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29657	Human	unknown	Male	?	AY.39.1.4	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC29945/2021	betacoronavirus	EPI_ISL_8641681	?	2021-12-09	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29748	Human	unknown	Female	?	AY.39.1	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC29306/2021	betacoronavirus	EPI_ISL_8641482	?	2021-12-04	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29747	Human	unknown	Male	?	AY.39.1	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC32131/2021	betacoronavirus	EPI_ISL_8641299	?	2021-12-19	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29747	Human	50	Female	?	AY.39.1.4	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC29985/2021	betacoronavirus	EPI_ISL_8641699	?	2021-12-09	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29748	Human	66	Male	?	AY.39.1	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC31318/2021	betacoronavirus	EPI_ISL_8642099	?	2021-12-21	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29072	Human	71	Male	?	AY.39	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC32447/2021	betacoronavirus	EPI_ISL_8642199	?	2021-12-22	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29764	Human	28	Female	?	AY.39.1	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC31886/2021	betacoronavirus	EPI_ISL_8642157	?	2021-12-22	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29759	Human	26	Male	?	Unassigned	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC32480/2021	betacoronavirus	EPI_ISL_8642219	?	2021-12-22	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29756	Human	31	Female	?	Unassigned	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC30735/2021	betacoronavirus	EPI_ISL_8641974	?	2021-12-22	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	28962	Human	27	Male	?	Unassigned	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC29972/2021	betacoronavirus	EPI_ISL_8641686	?	2021-12-09	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29748	Human	28	Female	?	AY.39.1.4	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC29565/2021	betacoronavirus	EPI_ISL_8641571	?	2021-12-10	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29764	Human	unknown	Female	?	AY.39.1	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC29934/2021	betacoronavirus	EPI_ISL_8641671	?	2021-12-09	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29747	Human	23	Male	?	AY.39.1	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC29344/2021	betacoronavirus	EPI_ISL_8641471	?	2021-12-04	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29131	Human	44	Female	?	AY.39.1	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC29688/2021	betacoronavirus	EPI_ISL_8641657	?	2021-12-10	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29748	Human	79	Male	?	AY.39.1	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC33367/2021	betacoronavirus	EPI_ISL_8642208	?	2021-12-21	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29752	Human	unknown	Male	?	BA.1	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC30601/2021	betacoronavirus	EPI_ISL_8641810	?	2021-12-08	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29747	Human	31	Male	?	BA.1	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC30866/2021	betacoronavirus	EPI_ISL_8642012	?	2021-12-23	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29750	Human	50	Male	?	BA.1.17	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC31472/2021	betacoronavirus	EPI_ISL_8642267	?	2021-12-23	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29747	Human	48	Female	?	AY.39.1.4	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC31471/2021	betacoronavirus	EPI_ISL_8642266	?	2021-12-23	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29756	Human	unknown	Female	?	BA.1.1.15	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC31470/2021	betacoronavirus	EPI_ISL_8642265	?	2021-12-23	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29756	Human	33	Female	?	BA.1.17	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC31469/2021	betacoronavirus	EPI_ISL_8642264	?	2021-12-23	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29759	Human	28	Male	?	BA.1.17	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC31468/2021	betacoronavirus	EPI_ISL_8642263	?	2021-12-23	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29764	Human	92	Male	?	AY.39.1	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC31466/2021	betacoronavirus	EPI_ISL_8642261	?	2021-12-23	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29756	Human	25	Female	?	BA.1.17	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC31465/2021	betacoronavirus	EPI_ISL_8642260	?	2021-12-23	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29756	Human	23	Female	?	BA.1.17	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC31464/2021	betacoronavirus	EPI_ISL_8642259	?	2021-12-23	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29700	Human	27	Female	?	AY.39.1	GK	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC31460/2021	betacoronavirus	EPI_ISL_8642255	?	2021-12-23	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29756	Human	27	Male	?	BA.1.17	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
hCoV-19/Australia/VIC31457/2021	betacoronavirus	EPI_ISL_8642252	?	2021-12-23	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29756	Human	34	Female	?	BA.1.17.1	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-01-13	?
