strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pangolin_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing
hCoV-19/Australia/WA6486/2022	betacoronavirus	EPI_ISL_14716868	?	2022-08-16	Oceania	Australia	Western Australia		Oceania	Australia	Western Australia	genome	29367	Human	unknown	unknown	?	BA.4	GRA	PathWest Laboratory Medicine WA, Queen Elizabeth II Medical Centre	PathWest Laboratory Medicine WA Microbial Surveillance Unit, Queen Elizabeth II Medical Centre	PathWest Laboratory Medicine WA Microbial Surveillance Unit	https://www.gisaid.org/	?	?	2022-08-29	?
hCoV-19/Australia/NSW-ICPMR-32673/2022	betacoronavirus	EPI_ISL_14789145	?	2022-08-19	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29372	Human	unknown	unknown	?	BM.4.1	GRA	Histopath Diagnostic Specialists	Institute of Clinical Pathology and Medical Research (ICPMR), Westmead Hospital	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2022-09-02	?
hCoV-19/Australia/SA451622/2022	betacoronavirus	EPI_ISL_14723278	?	2022-08-17	Oceania	Australia	South Australia		Oceania	Australia	South Australia	genome	29740	Human	unknown	Male	?	BF.28	GRA	SA Pathology	SA Pathology	Caitlin Selway, Lex Leong, Lito Papanicolas, Mark Turra, Ivan Bastian	https://www.gisaid.org/	?	?	2022-08-30	?
hCoV-19/Australia/SA451556/2022	betacoronavirus	EPI_ISL_14723277	?	2022-08-16	Oceania	Australia	South Australia		Oceania	Australia	South Australia	genome	29760	Human	unknown	Female	?	BA.5.2.1	GRA	SA Pathology	SA Pathology	Caitlin Selway, Lex Leong, Lito Papanicolas, Mark Turra, Ivan Bastian	https://www.gisaid.org/	?	?	2022-08-30	?
hCoV-19/Australia/NSW-ICPMR-32705/2022	betacoronavirus	EPI_ISL_14789177	?	2022-08-23	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29381	Human	unknown	unknown	?	BA.2.2	GRA	Pathology North - Royal North Shore Hospital - NSW Health Pathology	Institute of Clinical Pathology and Medical Research (ICPMR), Westmead Hospital	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2022-09-02	?
hCoV-19/Australia/NSW-ICPMR-32703/2022	betacoronavirus	EPI_ISL_14789175	?	2022-08-23	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29342	Human	unknown	unknown	?	BE.1	GRA	Laverty Pathology	Institute of Clinical Pathology and Medical Research (ICPMR), Westmead Hospital	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2022-09-02	?
hCoV-19/Australia/NSW-ICPMR-32700/2022	betacoronavirus	EPI_ISL_14789172	?	2022-08-23	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29375	Human	unknown	unknown	?	BA.5.2.1	GRA	Laverty Pathology	Institute of Clinical Pathology and Medical Research (ICPMR), Westmead Hospital	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2022-09-02	?
hCoV-19/Australia/NSW-ICPMR-32698/2022	betacoronavirus	EPI_ISL_14789170	?	2022-08-22	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29369	Human	unknown	unknown	?	BA.5.2.1	GRA	Laverty Pathology	Institute of Clinical Pathology and Medical Research (ICPMR), Westmead Hospital	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2022-09-02	?
hCoV-19/Australia/NSW-ICPMR-32695/2022	betacoronavirus	EPI_ISL_14789167	?	2022-08-22	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29381	Human	unknown	unknown	?	BA.2.75.4	GRA	Laverty Pathology	Institute of Clinical Pathology and Medical Research (ICPMR), Westmead Hospital	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2022-09-02	?
hCoV-19/Australia/NSW-ICPMR-32692/2022	betacoronavirus	EPI_ISL_14789164	?	2022-08-25	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29375	Human	unknown	unknown	?	BA.5.2	GRA	Pathology West - NSW Health Pathology	Institute of Clinical Pathology and Medical Research (ICPMR), Westmead Hospital	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2022-09-02	?
