strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pangolin_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing
hCoV-19/Australia/NSW-ICPMR-15943/2021	betacoronavirus	EPI_ISL_7620985	?	2021-12-02	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29378	Human	unknown	unknown	?	AY.39.1.2	GK	Medlab Pathology	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2021-12-14	?
hCoV-19/Australia/NSW-ICPMR-16377/2021	betacoronavirus	EPI_ISL_7621437	?	2021-12-02	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29378	Human	unknown	unknown	?	AY.39	GK	4Cyte Pathology	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2021-12-14	?
hCoV-19/Australia/NSW-ICPMR-16036/2021	betacoronavirus	EPI_ISL_7621084	?	2021-12-01	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29378	Human	unknown	unknown	?	AY.39.1.3	GK	Australian Clinical Labs (formerly Healthscope Pathology)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2021-12-14	?
hCoV-19/Australia/NSW-ICPMR-16361/2021	betacoronavirus	EPI_ISL_7621421	?	2021-12-04	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29378	Human	unknown	unknown	?	AY.39.1.2	GK	St Vincent's Pathology (SydPath)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2021-12-14	?
hCoV-19/Australia/NSW-ICPMR-16367/2021	betacoronavirus	EPI_ISL_7621427	?	2021-12-04	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29378	Human	unknown	unknown	?	AY.39.1	GK	St Vincent's Pathology (SydPath)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2021-12-14	?
hCoV-19/Australia/NSW-ICPMR-16368/2021	betacoronavirus	EPI_ISL_7621428	?	2021-12-04	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29378	Human	unknown	unknown	?	AY.39.1	GK	St Vincent's Pathology (SydPath)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2021-12-14	?
hCoV-19/Australia/NSW-ICPMR-16372/2021	betacoronavirus	EPI_ISL_7621432	?	2021-12-05	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29378	Human	unknown	unknown	?	AY.39.1	GK	St Vincent's Pathology (SydPath)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2021-12-14	?
hCoV-19/Australia/NSW-ICPMR-16373/2021	betacoronavirus	EPI_ISL_7621433	?	2021-12-05	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29378	Human	unknown	unknown	?	AY.39.1.2	GK	St Vincent's Pathology (SydPath)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2021-12-14	?
hCoV-19/Australia/NSW-ICPMR-16374/2021	betacoronavirus	EPI_ISL_7621434	?	2021-12-03	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29378	Human	unknown	unknown	?	AY.39.1.3	GK	Australian Clinical Labs (formerly Healthscope Pathology)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2021-12-14	?
hCoV-19/Australia/NSW-ICPMR-16375/2021	betacoronavirus	EPI_ISL_7621435	?	2021-12-04	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29378	Human	unknown	unknown	?	AY.39.1	GK	Australian Clinical Labs (formerly Healthscope Pathology)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2021-12-14	?
hCoV-19/Australia/NSW-ICPMR-15807/2021	betacoronavirus	EPI_ISL_7620842	?	2021-12-01	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29395	Human	unknown	unknown	?	AY.5	GK	Laverty Pathology	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2021-12-14	?
hCoV-19/Australia/NSW-ICPMR-15824/2021	betacoronavirus	EPI_ISL_7620859	?	2021-11-30	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29378	Human	unknown	unknown	?	AY.39.1.2	GK	Histopath	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2021-12-14	?
hCoV-19/Australia/NSW-ICPMR-15810/2021	betacoronavirus	EPI_ISL_7620845	?	2021-11-28	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29378	Human	unknown	unknown	?	AY.39.1.2	GK	Histopath	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2021-12-14	?
hCoV-19/Australia/NSW-ICPMR-15801/2021	betacoronavirus	EPI_ISL_7620836	?	2021-12-04	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29378	Human	unknown	unknown	?	AY.39.1.2	GK	Histopath	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2021-12-14	?
