strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pangolin_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing
hCoV-19/Australia/NSW-ICPMR-23795/2022	betacoronavirus	EPI_ISL_12226833	?	2022-04-07	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29381	Human	unknown	unknown	?	BA.2	GRA	Histopath	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/NSW-ICPMR-23807/2022	betacoronavirus	EPI_ISL_12226810	?	2022-04-06	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29372	Human	unknown	unknown	?	BA.2	GRA	Laverty Pathology	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/QLD0x00E190/2022	betacoronavirus	EPI_ISL_12220660	?	2022-04-02	Oceania	Australia	Queensland		Oceania	Australia	Queensland	genome	29731	Human	unknown	unknown	?	BA.2	GRA	4Cyte Pathology	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Patricia Wolf on behalf of Q-PHIRE Genomics	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/NSW-ICPMR-23817/2022	betacoronavirus	EPI_ISL_12226741	?	2022-04-10	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29381	Human	unknown	unknown	?	BA.2	GRA	Pathology West - NSW Health Pathology	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/NSW-ICPMR-23934/2022	betacoronavirus	EPI_ISL_12226815	?	2022-04-11	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29381	Human	unknown	unknown	?	BA.2	GRA	Sydney South West Pathology Service (SSWPS) - Concord Repatriation General Hospital - NSW Health Pathology	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/NSW-ICPMR-23789/2022	betacoronavirus	EPI_ISL_12226798	?	2022-03-18	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29381	Human	unknown	unknown	?	BA.2	GRA	Pathology West - NSW Health Pathology	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A., Draper J., Gall M., Martinez E., Rockett R., Sintchenko V., on behalf of ICPMR	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/QLD0x00E169/2022	betacoronavirus	EPI_ISL_12220470	?	2022-04-05	Oceania	Australia	Queensland		Oceania	Australia	Queensland	genome	29746	Human	unknown	unknown	?	BA.2	GRA	Forensic and Scientific Services	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Patricia Wolf on behalf of Q-PHIRE Genomics	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/WA2942/2022	betacoronavirus	EPI_ISL_12224479	?	2022-04-12	Oceania	Australia	Western Australia		Oceania	Australia	Western Australia	genome	29382	Human	unknown	unknown	?	BA.2	GRA	PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/WA2901/2022	betacoronavirus	EPI_ISL_12224438	?	2022-04-10	Oceania	Australia	Western Australia		Oceania	Australia	Western Australia	genome	29382	Human	unknown	unknown	?	BA.2	GRA	PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/NSW-SAVID-11275/2022	betacoronavirus	EPI_ISL_12206091	?	2022-04-11	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29652	Human	82	unknown	?	BA.2	GRA	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster, C.; Jean, T.; Wong, M.; Yeang, M.; Van Hal, S.; Rawlinson, W.	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/NSW-SAVID-10955/2022	betacoronavirus	EPI_ISL_12206148	?	2022-03-20	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29652	Human	84	Male	?	BA.2	GRA	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster, C.; Jean, T.; Wong, M.; Yeang, M.; Van Hal, S.; Rawlinson, W.	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/NSW-SAVID-11316/2022	betacoronavirus	EPI_ISL_12206223	?	2022-04-14	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29805	Human	67	unknown	?	BA.2	GRA	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster, C.; Jean, T.; Wong, M.; Yeang, M.; Van Hal, S.; Rawlinson, W.	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/NSW-SAVID-11284/2022	betacoronavirus	EPI_ISL_12206100	?	2022-04-11	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29652	Human	74	unknown	?	BA.2	GRA	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster, C.; Jean, T.; Wong, M.; Yeang, M.; Van Hal, S.; Rawlinson, W.	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/NSW-SAVID-11287/2022	betacoronavirus	EPI_ISL_12206103	?	2022-04-04	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	28578	Human	87	unknown	?	BA.2	GRA	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster, C.; Jean, T.; Wong, M.; Yeang, M.; Van Hal, S.; Rawlinson, W.	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/NSW-SAVID-10974/2022	betacoronavirus	EPI_ISL_12206204	?	2022-03-24	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	28579	Human	93	Female	?	BA.2	GRA	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster, C.; Jean, T.; Wong, M.; Yeang, M.; Van Hal, S.; Rawlinson, W.	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/NSW-SAVID-11122/2022	betacoronavirus	EPI_ISL_12206549	?	2022-03-31	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29678	Human	89	unknown	?	BA.2	GRA	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster, C.; Jean, T.; Wong, M.; Yeang, M.; Van Hal, S.; Rawlinson, W.	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/WA2843/2022	betacoronavirus	EPI_ISL_12205694	?	2022-04-09	Oceania	Australia	Western Australia		Oceania	Australia	Western Australia	genome	29331	Human	unknown	unknown	?	Unassigned	GRA	PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/NSW-SAVID-11113/2022	betacoronavirus	EPI_ISL_12206532	?	2022-04-01	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29652	Human	0	unknown	?	BA.2	GRA	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster, C.; Jean, T.; Wong, M.; Yeang, M.; Van Hal, S.; Rawlinson, W.	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/NSW-SAVID-11105/2022	betacoronavirus	EPI_ISL_12206518	?	2022-04-02	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29668	Human	85	unknown	?	BA.2	GRA	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster, C.; Jean, T.; Wong, M.; Yeang, M.; Van Hal, S.; Rawlinson, W.	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/NSW-SAVID-11114/2022	betacoronavirus	EPI_ISL_12206515	?	2022-04-02	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29652	Human	54	unknown	?	BA.2	GRA	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster, C.; Jean, T.; Wong, M.; Yeang, M.; Van Hal, S.; Rawlinson, W.	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/NSW-SAVID-11119/2022	betacoronavirus	EPI_ISL_12206519	?	2022-04-01	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29653	Human	81	unknown	?	BA.2	GRA	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster, C.; Jean, T.; Wong, M.; Yeang, M.; Van Hal, S.; Rawlinson, W.	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/NSW-SAVID-11112/2022	betacoronavirus	EPI_ISL_12206524	?	2022-04-01	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29653	Human	90	unknown	?	BA.2	GRA	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster, C.; Jean, T.; Wong, M.; Yeang, M.; Van Hal, S.; Rawlinson, W.	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/NSW-SAVID-11094/2022	betacoronavirus	EPI_ISL_12206507	?	2022-03-30	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29652	Human	49	unknown	?	BA.2	GRA	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster, C.; Jean, T.; Wong, M.; Yeang, M.; Van Hal, S.; Rawlinson, W.	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/WA2764/2022	betacoronavirus	EPI_ISL_12205615	?	2022-04-06	Oceania	Australia	Western Australia		Oceania	Australia	Western Australia	genome	29382	Human	unknown	unknown	?	BA.2	GRA	PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit	https://www.gisaid.org/	?	?	2022-04-22	?
hCoV-19/Australia/QLD0x00E051/2022	betacoronavirus	EPI_ISL_12135301	?	2022-04-05	Oceania	Australia	Queensland		Oceania	Australia	Queensland	genome	29746	Human	unknown	unknown	?	BA.2	GRA	Pathology Queensland and Forensic Scientific Services	PHV-FSS	Patricia Wolf on behalf of Q-PHIRE Genomics	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/Australia/QLD0x00E036/2022	betacoronavirus	EPI_ISL_12135298	?	2022-04-04	Oceania	Australia	Queensland		Oceania	Australia	Queensland	genome	29746	Human	unknown	unknown	?	BA.2	GRA	Pathology Queensland and Forensic Scientific Services	PHV-FSS	Patricia Wolf on behalf of Q-PHIRE Genomics	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/Australia/QLD0x00E032/2022	betacoronavirus	EPI_ISL_12135295	?	2022-04-06	Oceania	Australia	Queensland		Oceania	Australia	Queensland	genome	29746	Human	unknown	unknown	?	BA.2	GRA	Pathology Queensland and Forensic Scientific Services	PHV-FSS	Patricia Wolf on behalf of Q-PHIRE Genomics	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/Australia/QLD0x00E071/2022	betacoronavirus	EPI_ISL_12135276	?	2022-04-12	Oceania	Australia	Queensland		Oceania	Australia	Queensland	genome	29746	Human	unknown	unknown	?	BA.2	GRA	Pathology Queensland and Forensic Scientific Services	PHV-FSS	Patricia Wolf on behalf of Q-PHIRE Genomics	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/Australia/VIC51144/2022	betacoronavirus	EPI_ISL_12115839	?	2022-04-03	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29844	Human	46	Female	?	BA.2	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/Australia/VIC51141/2022	betacoronavirus	EPI_ISL_12115831	?	2022-04-03	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29850	Human	unknown	Male	?	BA.2	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/Australia/VIC51137/2022	betacoronavirus	EPI_ISL_12115820	?	2022-04-03	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29829	Human	48	Male	?	BA.2	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/Australia/VIC51159/2022	betacoronavirus	EPI_ISL_12115882	?	2022-04-04	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29872	Human	50	Female	?	BA.2	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/Australia/VIC51156/2022	betacoronavirus	EPI_ISL_12115873	?	2022-04-04	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29844	Human	38	Male	?	BA.2	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/Australia/VIC51162/2022	betacoronavirus	EPI_ISL_12115891	?	2022-04-04	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29847	Human	61	Female	?	BA.2	GRA	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann, T., Horan, K., Sherry, N.L.	https://www.gisaid.org/	?	?	2022-04-18	?
hCoV-19/Australia/QLD0x00E1B4/2022	betacoronavirus	EPI_ISL_12220712	?	2022-04-04	Oceania	Australia	Queensland		Oceania	Australia	Queensland	genome	29743	Human	unknown	unknown	?	BA.1.1	GRA	Genomics for Life	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Patricia Wolf on behalf of Q-PHIRE Genomics	https://www.gisaid.org/	?	?	2022-04-22	?
