lineage,synonyms
A,
A.1,
A.11,
A.2.2,
A.2.3,
A.2.5,
A.2.5.1,
A.2.5.2,
A.21,
A.23.1,
A.25,
A.26,
A.27,
A.28,
A.29,
A.3,
A.4,
A.5,
A.6,
AA.2,
AA.3,
AA.4,
AA.5,
AA.7,
AA.8,
AC.1,
AD.2,
AE.2,
AE.4,
AE.6,
AE.7,
AF.1,
AH.2,
AK.1,
AM.3,
AN.1,
AP.1,
AS.1,
AS.2,
AV.1,
AY.10,Delta
AY.100,Delta
AY.101,Delta
AY.102,Delta
AY.103,Delta
AY.103.1,Delta
AY.104,Delta
AY.105,Delta
AY.106,Delta
AY.107,Delta
AY.108,Delta
AY.109,Delta
AY.11,Delta
AY.110,Delta
AY.111,Delta
AY.112.1,Delta
AY.112.2,Delta
AY.113,Delta
AY.114,Delta
AY.116.1,Delta
AY.117,Delta
AY.118,Delta
AY.119,Delta
AY.119.1,Delta
AY.119.2,Delta
AY.120,Delta
AY.120.1,Delta
AY.120.2,Delta
AY.120.2.1,Delta
AY.121,Delta
AY.121.1,Delta
AY.122,Delta
AY.122.1,Delta
AY.122.2,Delta
AY.122.3,Delta
AY.122.4,Delta
AY.122.5,Delta
AY.122.6,Delta
AY.123,Delta
AY.123.1,Delta
AY.124,Delta
AY.124.1,Delta
AY.124.1.1,Delta
AY.125,Delta
AY.126,Delta
AY.127,Delta
AY.127.1,Delta
AY.128,Delta
AY.129,Delta
AY.13,Delta
AY.130,Delta
AY.131,Delta
AY.132,Delta
AY.133,Delta
AY.134,Delta
AY.14,Delta
AY.15,Delta
AY.16,Delta
AY.16.1,Delta
AY.17,Delta
AY.2,Delta
AY.20,Delta
AY.20.1,Delta
AY.21,Delta
AY.22,Delta
AY.23,Delta
AY.23.1,Delta
AY.23.2,Delta
AY.24,Delta
AY.25,Delta
AY.25.1,Delta
AY.25.1.1,Delta
AY.25.1.2,Delta
AY.25.2,Delta
AY.25.3,Delta
AY.26,Delta
AY.27,Delta
